Kategori,Nama Pangan,Wilayah Tumbuh,Kandungan Gizi Utama,Manfaat untuk Anak Stunting
Buah,Pisang Ambon,Dataran Rendah,"Kalium, Vitamin B6, Serat",Meningkatkan energi dan mendukung pencernaan sehat
Buah,Pisang Raja,Dataran Rendah,"Karbohidrat, Vitamin C, Kalium",Meningkatkan berat badan dan nafsu makan
Buah,Pisang Kepok,Dataran Rendah,"Karbohidrat, Kalium, Vitamin B6",Sumber energi murah untuk MPASI
Buah,Jambu Biji Merah,Dataran Rendah,"Vitamin C, Likopen, Serat",Meningkatkan penyerapan zat besi dan imunitas
Buah,Jambu Kristal,Dataran Rendah,"Vitamin C, Serat, Air",Meningkatkan hidrasi dan pencernaan
Buah,Mangga Arumanis,Dataran Rendah,"Beta-karoten, Vitamin C, Folat",Mendukung pertumbuhan sel dan kesehatan mata
Buah,Mangga Gedong,Dataran Rendah,"Vitamin A, Vitamin C, Kalium",Meningkatkan imunitas dan penglihatan
Buah,Pepaya California,Dataran Rendah,"Beta-karoten, Vitamin C, Enzim Papain",Meningkatkan pencernaan dan penyerapan nutrisi
Buah,Pepaya Bangkok,Dataran Rendah,"Vitamin A, Serat, Kalium",Mendukung pertumbuhan dan imunitas
Buah,Semangka,Dataran Rendah,"Air, Likopen, Vitamin A",Mencegah dehidrasi dan mendukung penglihatan
Buah,Nangka,Dataran Rendah,"Karbohidrat, Vitamin A, Magnesium",Sumber energi dan mendukung pertumbuhan
Buah,Nangka Muda,Dataran Rendah,"Serat, Zat Besi, Karbohidrat",Makanan lokal tinggi serat dan energi
Buah,Rambutan,Dataran Rendah,"Zat Besi, Vitamin C, Tembaga",Membantu produksi hemoglobin
Buah,Salak Bali,Dataran Rendah,"Zat Besi, Vitamin C, Serat",Meningkatkan pencernaan dan imunitas
Buah,Duku,Dataran Rendah,"Vitamin C, Fosfor, Serat",Meningkatkan nafsu makan dan kesehatan gigi
Buah,Langsat,Dataran Rendah,"Vitamin C, Serat, Antioksidan",Mendukung metabolisme dan imunitas
Buah,Jambu Air Madu,Dataran Rendah,"Air, Vitamin C, Serat",Meningkatkan hidrasi dan pencernaan
Buah,Jambu Air Citra,Dataran Rendah,"Vitamin C, Air, Antioksidan",Meningkatkan kesegaran dan imunitas
Buah,Sawo Manila,Dataran Rendah,"Vitamin C, Karbohidrat, Kalsium",Meningkatkan energi dan kesehatan tulang
Buah,Sawo Duren,Dataran Rendah,"Serat, Vitamin A, Kalium",Mendukung pencernaan dan penglihatan
Buah,Kedondong,Dataran Rendah,"Vitamin C, Asam Organik, Kalsium",Meningkatkan nafsu makan
Buah,Jeruk Siam,Dataran Rendah,"Vitamin C, Folat, Kalium",Meningkatkan penyerapan zat besi
Buah,Jeruk Nipis,Dataran Rendah,"Vitamin C, Antioksidan",Meningkatkan rasa makanan dan penyerapan zat besi
Buah,Belimbing Manis,Dataran Rendah,"Vitamin C, Antioksidan, Serat",Meningkatkan metabolisme dan imunitas
Buah,Tomat Buah,Dataran Rendah,"Likopen, Vitamin C, Kalium",Meningkatkan penyerapan zat besi
Buah,Anggur Hijau,Dataran Rendah,"Antioksidan, Vitamin K, Kalium",Mendukung kesehatan tulang
Buah,Anggur Merah,Dataran Rendah,"Resveratrol, Vitamin C, Kalium",Mendukung sirkulasi darah dan imunitas
Buah,Manggis,Dataran Rendah,"Xanthone, Vitamin C, Serat",Meningkatkan daya tahan tubuh
Buah,Delima Merah,Dataran Rendah,"Antosianin, Vitamin C, Folat",Meningkatkan produksi sel darah merah
Buah,Kesemek,Dataran Rendah,"Vitamin A, Vitamin C, Serat",Meningkatkan kesehatan mata dan pencernaan
Buah,Pepino,Dataran Rendah,"Vitamin C, Kalium, Serat",Mendukung hidrasi dan imunitas
Buah,Alpukat Mentega,Dataran Tinggi,"Lemak tak jenuh, Vitamin E, Kalium",Mendukung perkembangan otak dan kenaikan berat badan
Buah,Alpukat Wina,Dataran Tinggi,"Lemak Sehat, Vitamin K, Folat",Mendukung pertumbuhan tulang dan sel
Buah,Apel Manalagi,Dataran Tinggi,"Serat, Vitamin C, Quercetin",Mendukung pencernaan dan sistem imun
Buah,Apel Rome Beauty,Dataran Tinggi,"Antioksidan, Vitamin C, Kalium",Meningkatkan fungsi sel sehat
Buah,Markisa Ungu,Dataran Tinggi,"Vitamin A, Vitamin C, Serat",Mendukung kesehatan mata dan pencernaan
Buah,Strawberry,Dataran Tinggi,"Vitamin C, Folat, Mangan",Meningkatkan produksi sel darah merah
Buah,Blueberry,Dataran Tinggi,"Antosianin, Vitamin C, Serat",Meningkatkan fungsi kognitif
Buah,Ceri Manis,Dataran Tinggi,"Vitamin C, Antioksidan, Kalium",Mendukung pertumbuhan sel sehat
Buah,Kesemek,Dataran Tinggi,"Vitamin A, Vitamin C, Serat",Meningkatkan kesehatan mata dan pencernaan
Buah,Anggur Hijau,Dataran Tinggi,"Antioksidan, Vitamin K, Kalium",Mendukung kesehatan tulang
Buah,Anggur Merah,Dataran Tinggi,"Resveratrol, Vitamin C, Kalium",Mendukung sirkulasi darah dan imunitas
Buah,Pepino,Dataran Tinggi,"Vitamin C, Kalium, Serat",Mendukung hidrasi dan imunitas
Buah,Apel Fuji,Dataran Tinggi,"Serat, Vitamin C, Antioksidan",Mendukung pencernaan dan imunitas
Buah,Pear,Dataran Tinggi,"Serat, Vitamin C, Kalium",Meningkatkan pencernaan dan hidrasi
Buah,Kiwi,Dataran Tinggi,"Vitamin C, Vitamin K, Serat",Meningkatkan imunitas dan penyerapan zat besi
